Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
USERS_TR_ADDUSER - 57,1,1180,1180,1180,0.00,0.000%,.84746,1.05,0.42,1269.0
USERS_TR_UPDATEUSER - 3,1,1875,1875,1875,0.00,0.000%,.53333,0.45,0.39,866.0
USERS_TR_ADDUSER - 47,1,1556,1556,1556,0.00,0.000%,.64267,0.80,0.32,1270.0
USERS_TR_ADDUSER - 53,1,1556,1556,1556,0.00,0.000%,.64185,0.80,0.32,1270.0
USERS_TR_ADDUSER - 42,1,1553,1553,1553,0.00,0.000%,.64350,0.80,0.32,1270.0
USERS_TR_ADDUSER - 55,1,1593,1593,1593,0.00,0.000%,.62696,0.78,0.31,1270.0
USERS_TR_ADDUSER - 46,1,1534,1534,1534,0.00,0.000%,.65189,0.81,0.33,1270.0
USERS_TR_ADDUSER - 48,1,1701,1701,1701,0.00,0.000%,.58651,0.73,0.29,1269.0
USERS_TR_ADDUSER - 36,1,2039,2039,2039,0.00,0.000%,.49020,0.61,0.25,1270.0
USERS_TR_UPDATEUSER - 13,1,1508,1508,1508,0.00,0.000%,.66269,0.56,0.48,867.0
USERS_TR_ADDUSER - 21,1,1920,1920,1920,0.00,0.000%,.52056,0.65,0.18,1270.0
USERS_TR_ADDUSER - 27,1,1971,1971,1971,0.00,0.000%,.50710,0.63,0.25,1270.0
USERS_TR_ADDUSER - 30,1,1999,1999,1999,0.00,0.000%,.50000,0.62,0.25,1269.0
USERS_TR_GETUSERPROFILE - 40,1,999,999,999,0.00,0.000%,.99502,0.84,0.49,869.0
USERS_TR_ADDUSER - 45,1,1796,1796,1796,0.00,0.000%,.55617,0.69,0.19,1269.0
USERS_TR_ADDUSER - 51,1,1796,1796,1796,0.00,0.000%,.55679,0.69,0.19,1269.0
USERS_TR_ADDUSER - 44,1,1785,1785,1785,0.00,0.000%,.55991,0.69,0.28,1269.0
USERS_TR_ADDUSER - 54,1,1661,1661,1661,0.00,0.000%,.60132,0.75,0.30,1269.0
USERS_TR_ADDUSER - 49,1,1660,1660,1660,0.00,0.000%,.60241,0.75,0.30,1270.0
USERS_TR_ADDUSER - 52,1,1704,1704,1704,0.00,0.000%,.58582,0.73,0.29,1268.0
USERS_TR_ADDUSER - 41,1,1699,1699,1699,0.00,0.000%,.58754,0.73,0.29,1270.0
USERS_TR_LOGINUSER - 4,1,1618,1618,1618,0.00,100.000%,.61614,0.40,0.27,669.0
USERS_TR_LOGINUSER - 5,1,1171,1171,1171,0.00,0.000%,.84674,1.05,0.38,1267.0
USERS_TR_ADDUSER - 60,1,876,876,876,0.00,0.000%,1.14025,1.42,0.57,1272.0
USERS_TR_GETUSERPROFILE - 26,1,915,915,915,0.00,0.000%,1.09290,0.93,0.54,870.0
USERS_TR_LOGINUSER - 2,1,1178,1178,1178,0.00,100.000%,.84317,0.55,0.38,673.0
USERS_TR_ADDUSER - 69,1,1052,1052,1052,0.00,0.000%,.95057,1.18,0.48,1274.0
USERS_TR_ADDUSER - 71,1,1052,1052,1052,0.00,0.000%,.95057,1.18,0.48,1274.0
USERS_TR_ADDUSER - 61,1,869,869,869,0.00,0.000%,1.14679,1.43,0.57,1273.0
USERS_TR_ADDUSER - 58,1,753,753,753,0.00,0.000%,1.32626,1.65,0.66,1273.0
USERS_TR_ADDUSER - 70,1,754,754,754,0.00,0.000%,1.32626,1.65,0.66,1273.0
USERS_TR_GETUSERPROFILE - 32,1,1102,1102,1102,0.00,0.000%,.90744,0.77,0.45,870.0
USERS_TR_GETUSERPROFILE - 50,1,909,909,909,0.00,0.000%,1.09890,0.93,0.54,869.0
USERS_TR_GETUSERPROFILE - 39,1,1097,1097,1097,0.00,0.000%,.91158,0.77,0.45,870.0
USERS_TR_GETUSERPROFILE - 57,1,908,908,908,0.00,0.000%,1.10011,0.93,0.54,869.0
USERS_TR_GETUSERPROFILE - 23,1,1083,1083,1083,0.00,0.000%,.92251,0.78,0.45,870.0
USERS_TR_GETUSERPROFILE - 43,1,908,908,908,0.00,0.000%,1.09890,0.93,0.54,869.0
USERS_TR_GETUSERPROFILE - 31,1,1083,1083,1083,0.00,0.000%,.92166,0.78,0.45,869.0
USERS_TR_GETUSERPROFILE - 56,1,1039,1039,1039,0.00,0.000%,.96154,0.82,0.47,869.0
USERS_TR_LOGOUTUSER - 4,1,327,327,327,0.00,100.000%,1.58983,1.23,0.69,791.0
USERS_TR_LOGOUTUSER - 2,1,270,270,270,0.00,100.000%,1.73611,1.34,0.75,791.0
USERS_TR_UPDATEUSER - 16,1,1837,1837,1837,0.00,0.000%,.54407,0.46,0.39,870.0
USERS_TR_UPDATEUSER - 34,1,1745,1745,1745,0.00,0.000%,.57307,0.49,0.41,870.0
USERS_TR_UPDATEUSER - 18,1,1737,1737,1737,0.00,0.000%,.57571,0.49,0.42,871.0
USERS_TR_UPDATEUSER - 10,1,1995,1995,1995,0.00,0.000%,.50125,0.43,0.36,871.0
USERS_TR_UPDATEUSER - 24,1,1914,1914,1914,0.00,0.000%,.52219,0.44,0.38,870.0
USERS_TR_UPDATEUSER - 25,1,1887,1887,1887,0.00,0.000%,.52966,0.45,0.38,870.0
USERS_TR_UPDATEUSER - 14,1,1834,1834,1834,0.00,0.000%,.54496,0.46,0.39,871.0
USERS_TR_UPDATEUSER - 11,1,1914,1914,1914,0.00,0.000%,.52247,0.44,0.38,871.0
USERS_TR_UPDATEUSER - 35,1,1837,1837,1837,0.00,0.000%,.54437,0.46,0.39,870.0
USERS_TR_UPDATEUSER - 8,1,1817,1817,1817,0.00,0.000%,.55006,0.47,0.40,869.0
USERS_TR_UPDATEUSER - 7,1,1817,1817,1817,0.00,0.000%,.55036,0.47,0.40,871.0
USERS_TR_UPDATEUSER - 9,1,1918,1918,1918,0.00,0.000%,.52110,0.44,0.38,870.0
USERS_TR_UPDATEUSER - 12,1,2071,2071,2071,0.00,0.000%,.48286,0.41,0.35,871.0
USERS_TR_UPDATEUSER - 20,1,1819,1819,1819,0.00,0.000%,.54975,0.47,0.40,871.0
USERS_TR_UPDATEUSER - 38,1,1892,1892,1892,0.00,0.000%,.52854,0.45,0.38,870.0
USERS_TR_UPDATEUSER - 28,1,1892,1892,1892,0.00,0.000%,.52854,0.45,0.38,871.0
USERS_TR_UPDATEUSER - 19,1,1818,1818,1818,0.00,0.000%,.54975,0.47,0.40,871.0
USERS_TR_LOGINUSER - 1,1,1917,1917,1917,0.00,0.000%,.52110,0.65,0.23,1268.0
USERS_TR_LOGINUSER - 6,1,2068,2068,2068,0.00,0.000%,.48286,0.60,0.22,1266.0
USERS_TR_UPDATEUSER - 15,1,1819,1819,1819,0.00,0.000%,.54975,0.47,0.40,871.0
USERS_TR_UPDATEUSER - 29,1,1819,1819,1819,0.00,0.000%,.54975,0.47,0.40,869.0
USERS_TR_UPDATEUSER - 33,1,1819,1819,1819,0.00,0.000%,.54975,0.47,0.40,870.0
USERS_TR_UPDATEUSER - 37,1,1818,1818,1818,0.00,0.000%,.54975,0.47,0.40,871.0
USERS_TR_GETUSERPROFILE - 53,1,1077,1077,1077,0.00,0.000%,.92851,0.79,0.46,866.0
USERS_TR_UPDATEUSER - 17,1,1822,1822,1822,0.00,0.000%,.54885,0.47,0.40,871.0
USERS_TR_GETUSERPROFILE - 47,1,1077,1077,1077,0.00,0.000%,.92593,0.78,0.46,866.0
USERS_TR_UPDATEUSER - 22,1,1816,1816,1816,0.00,0.000%,.54885,0.47,0.40,870.0
USERS_TR_GETUSERPROFILE - 36,1,1064,1064,1064,0.00,0.000%,.93985,0.79,0.46,866.0
USERS_TR_GETUSERPROFILE - 55,1,1081,1081,1081,0.00,0.000%,.92507,0.78,0.46,866.0
USERS_TR_GETUSERPROFILE - 48,1,1070,1070,1070,0.00,0.000%,.93371,0.79,0.46,865.0
USERS_TR_GETUSERPROFILE - 45,1,1025,1025,1025,0.00,0.000%,.97561,0.82,0.48,865.0
USERS_TR_GETUSERPROFILE - 42,1,1084,1084,1084,0.00,0.000%,.92166,0.78,0.45,866.0
USERS_TR_GETUSERPROFILE - 21,1,1068,1068,1068,0.00,0.000%,.93633,0.79,0.46,866.0
USERS_TR_GETUSERPROFILE - 27,1,1063,1063,1063,0.00,0.000%,.93721,0.79,0.46,866.0
USERS_TR_GETUSERPROFILE - 44,1,1022,1022,1022,0.00,0.000%,.97752,0.83,0.48,865.0
USERS_TR_GETUSERPROFILE - 46,1,1075,1075,1075,0.00,0.000%,.92851,0.79,0.46,866.0
USERS_TR_GETUSERPROFILE - 30,1,1068,1068,1068,0.00,0.000%,.93633,0.79,0.46,865.0
USERS_TR_GETUSERPROFILE - 51,1,1039,1039,1039,0.00,0.000%,.96154,0.81,0.47,865.0
USERS_TR_GETUSERPROFILE - 54,1,992,992,992,0.00,0.000%,1.00604,0.85,0.50,865.0
USERS_TR_GETUSERPROFILE - 49,1,997,997,997,0.00,0.000%,1.00200,0.85,0.49,866.0
USERS_TR_GETUSERPROFILE - 60,1,903,903,903,0.00,0.000%,1.10742,0.93,0.55,864.0
USERS_TR_GETUSERPROFILE - 41,1,998,998,998,0.00,0.000%,1.00200,0.85,0.49,866.0
USERS_TR_GETUSERPROFILE - 70,1,896,896,896,0.00,0.000%,1.11483,0.94,0.55,865.0
USERS_TR_GETUSERPROFILE - 52,1,998,998,998,0.00,0.000%,1.00100,0.84,0.49,864.0
USERS_TR_GETUSERPROFILE - 58,1,898,898,898,0.00,0.000%,1.11359,0.94,0.55,865.0
USERS_TR_GETUSERPROFILE - 61,1,946,946,946,0.00,0.000%,1.05708,0.89,0.52,865.0
USERS_TR_GETUSERPROFILE - 69,1,948,948,948,0.00,0.000%,1.05485,0.89,0.52,866.0
USERS_TR_ADDUSER - 86,1,1133,1133,1133,0.00,0.000%,.88261,1.09,0.44,1270.0
USERS_TR_ADDUSER - 88,1,1140,1140,1140,0.00,0.000%,.87642,1.09,0.44,1269.0
USERS_TR_ADDUSER - 66,1,1196,1196,1196,0.00,0.000%,.83612,1.04,0.42,1270.0
USERS_TR_ADDUSER - 62,1,1208,1208,1208,0.00,0.000%,.82713,1.03,0.41,1269.0
USERS_TR_GETUSERPROFILE - 71,1,1038,1038,1038,0.00,0.000%,.96246,0.81,0.47,866.0
USERS_TR_ADDUSER - 84,1,1223,1223,1223,0.00,0.000%,.81699,1.01,0.41,1270.0
USERS_TR_UPDATEUSER - 40,1,1351,1351,1351,0.00,0.000%,.74019,0.63,0.53,866.0
USERS_TR_LOGINUSER - 13,1,1360,1360,1360,0.00,0.000%,.73368,0.90,0.33,1263.0
USERS_TR_ADDUSER - 63,1,1359,1359,1359,0.00,0.000%,.73584,0.91,0.37,1269.0
USERS_TR_ADDUSER - 73,1,1362,1362,1362,0.00,0.000%,.73368,0.91,0.37,1269.0
USERS_TR_ADDUSER - 72,1,1363,1363,1363,0.00,0.000%,.73314,0.91,0.37,1269.0
USERS_TR_ADDUSER - 74,1,1360,1360,1360,0.00,0.000%,.73475,0.91,0.37,1269.0
USERS_TR_ADDUSER - 99,1,1974,1974,1974,0.00,0.000%,.50659,0.63,0.17,1270.0
USERS_TR_ADDUSER - 89,1,1886,1886,1886,0.00,0.000%,.52994,0.66,0.26,1269.0
USERS_TR_ADDUSER - 67,1,1930,1930,1930,0.00,0.000%,.51787,0.64,0.26,1268.0
USERS_TR_UPDATEUSER - 26,1,1790,1790,1790,0.00,0.000%,.55866,0.47,0.40,867.0
USERS_TR_ADDUSER - 81,1,1888,1888,1888,0.00,0.000%,.52938,0.66,0.26,1269.0
USERS_TR_ADDUSER - 91,1,1887,1887,1887,0.00,0.000%,.52966,0.66,0.18,1270.0
USERS_TR_ADDUSER - 77,1,1972,1972,1972,0.00,0.000%,.50659,0.63,0.17,1270.0
USERS_TR_ADDUSER - 64,1,1935,1935,1935,0.00,0.000%,.51680,0.64,0.26,1270.0
USERS_TR_ADDUSER - 59,1,1937,1937,1937,0.00,0.000%,.51600,0.64,0.17,1270.0
USERS_TR_ADDUSER - 98,1,1893,1893,1893,0.00,0.000%,.52798,0.65,0.18,1268.0
USERS_TR_ADDUSER - 94,1,1894,1894,1894,0.00,0.000%,.52715,0.65,0.18,1269.0
USERS_TR_ADDUSER - 93,1,1986,1986,1986,0.00,0.000%,.50352,0.62,0.17,1270.0
USERS_TR_ADDUSER - 87,1,1898,1898,1898,0.00,0.000%,.52604,0.65,0.18,1269.0
USERS_TR_ADDUSER - 100,1,1896,1896,1896,0.00,0.000%,.52687,0.65,0.18,1269.0
USERS_TR_LOGINUSER - 3,1,2009,2009,2009,0.00,0.000%,.49702,0.61,0.22,1264.0
USERS_TR_ADDUSER - 68,1,1900,1900,1900,0.00,0.000%,.52632,0.65,0.18,1269.0
USERS_TR_ADDUSER - 65,1,1944,1944,1944,0.00,0.000%,.51414,0.64,0.17,1270.0
USERS_TR_ADDUSER - 76,1,1945,1945,1945,0.00,0.000%,.51387,0.64,0.26,1270.0
USERS_TR_ADDUSER - 85,1,1902,1902,1902,0.00,0.000%,.52521,0.65,0.18,1268.0
USERS_TR_ADDUSER - 75,1,1901,1901,1901,0.00,0.000%,.52576,0.65,0.26,1269.0
USERS_TR_UPDATEUSER - 39,1,1762,1762,1762,0.00,0.000%,.56754,0.48,0.41,866.0
USERS_TR_DELETEUSER - 4,1,1381,1381,1381,0.00,0.000%,.72359,0.47,0.45,659.0
USERS_TR_LOGOUTUSER - 5,1,1616,1616,1616,0.00,0.000%,.51867,0.33,0.30,659.0
USERS_TR_UPDATEUSER - 31,1,1763,1763,1763,0.00,0.000%,.56721,0.48,0.41,867.0
USERS_TR_UPDATEUSER - 32,1,1774,1774,1774,0.00,0.000%,.56338,0.48,0.41,867.0
USERS_TR_UPDATEUSER - 50,1,1768,1768,1768,0.00,0.000%,.56561,0.48,0.41,866.0
USERS_TR_ADDUSER - 79,1,1926,1926,1926,0.00,0.000%,.51760,0.64,0.18,1270.0
USERS_TR_ADDUSER - 95,1,1932,1932,1932,0.00,0.000%,.51733,0.64,0.18,1270.0
USERS_TR_ADDUSER - 97,1,1926,1926,1926,0.00,0.000%,.51760,0.64,0.18,1270.0
USERS_TR_ADDUSER - 96,1,1767,1767,1767,0.00,0.000%,.56561,0.70,0.28,1270.0
USERS_TR_ADDUSER - 78,1,1767,1767,1767,0.00,0.000%,.56561,0.70,0.19,1270.0
USERS_TR_ADDUSER - 82,1,1931,1931,1931,0.00,0.000%,.51733,0.64,0.18,1270.0
USERS_TR_ADDUSER - 80,1,2014,2014,2014,0.00,0.000%,.49603,0.62,0.17,1270.0
USERS_TR_ADDUSER - 83,1,1934,1934,1934,0.00,0.000%,.51706,0.64,0.18,1270.0
USERS_TR_UPDATEUSER - 43,1,1771,1771,1771,0.00,0.000%,.56433,0.48,0.41,866.0
USERS_TR_UPDATEUSER - 56,1,1772,1772,1772,0.00,0.000%,.56433,0.48,0.41,866.0
USERS_TR_UPDATEUSER - 23,1,1772,1772,1772,0.00,0.000%,.56402,0.48,0.41,867.0
USERS_TR_UPDATEUSER - 57,1,1772,1772,1772,0.00,0.000%,.56433,0.48,0.41,866.0
USERS_TR_ADDUSER - 90,1,1930,1930,1930,0.00,0.000%,.51653,0.64,0.18,1270.0
USERS_TR_GETUSERPROFILE - 86,1,1145,1145,1145,0.00,0.000%,.87260,0.73,0.43,862.0
USERS_TR_GETUSERPROFILE - 63,1,923,923,923,0.00,0.000%,1.08225,0.91,0.53,861.0
USERS_TR_LOGINUSER - 38,1,1226,1226,1226,0.00,0.000%,.80841,0.99,0.36,1260.0
USERS_TR_UPDATEUSER - 27,1,1225,1225,1225,0.00,0.000%,.81633,0.69,0.59,863.0
USERS_TR_DELETEUSER - 2,1,1525,1525,1525,0.00,0.000%,.65488,0.42,0.41,655.0
USERS_TR_LOGINUSER - 8,1,1223,1223,1223,0.00,0.000%,.80257,0.99,0.36,1259.0
USERS_TR_LOGINUSER - 22,1,1221,1221,1221,0.00,0.000%,.80645,0.99,0.36,1260.0
USERS_TR_GETUSERPROFILE - 74,1,1019,1019,1019,0.00,0.000%,.98135,0.83,0.48,861.0
USERS_TR_LOGINUSER - 28,1,1360,1360,1360,0.00,0.000%,.72516,0.89,0.32,1259.0
USERS_TR_UPDATEUSER - 48,1,1370,1370,1370,0.00,0.000%,.72993,0.61,0.53,861.0
USERS_TR_UPDATEUSER - 46,1,1364,1364,1364,0.00,0.000%,.73260,0.62,0.53,863.0
USERS_TR_UPDATEUSER - 53,1,1376,1376,1376,0.00,0.000%,.72622,0.61,0.53,863.0
USERS_TR_UPDATEUSER - 42,1,1369,1369,1369,0.00,0.000%,.73046,0.62,0.53,863.0
USERS_TR_GETUSERPROFILE - 72,1,1073,1073,1073,0.00,0.000%,.93023,0.78,0.46,861.0
USERS_TR_GETUSERPROFILE - 73,1,1216,1216,1216,0.00,0.000%,.82169,0.69,0.41,861.0
